date,commit_sha,java-compile,java-generate-java,java-generate-python,java-generate-js,java-compile-test,python-compile,python-generate-java,python-generate-python,python-generate-js,python-compile-test,js-compile,js-generate-java,js-generate-python,js-generate-js,js-compile-test
2026-06-19,176dd6b,2.905,84.774,84.087,83.533,17.732,2.961,86.139,82.978,82.319,17.561,2.920,83.893,83.487,83.173,18.314
2026-06-19,f46942a,2.250,181.223,180.957,180.961,17.155,2.580,182.672,180.386,177.961,16.629,2.623,179.667,178.752,177.787,16.419
2026-06-19,349b20a,2.600,73.735,71.665,71.723,16.010,2.168,73.204,71.927,71.662,16.244,2.429,73.651,71.648,71.306,16.273
2026-06-19,5d62013,2.502,75.640,74.390,74.116,16.395,2.358,76.009,75.123,74.306,16.623,2.475,75.969,75.016,74.339,16.889
2026-06-19,4c4e64a,2.638,80.621,79.758,79.849,17.310,2.789,85.936,82.359,81.267,17.941,2.955,83.967,82.067,81.200,17.133
2026-06-20,77cb03c,2.632,85.751,84.860,83.159,16.597,2.524,84.972,83.485,82.276,16.867,2.811,84.977,82.860,84.170,17.205
2026-06-29,80fbebd,2.300,1.631,1.107,0.954,11.130,2.088,1.575,1.061,0.980,11.358,1.916,1.534,1.106,0.977,11.246
2026-06-30,0ea9faf,2.024,1.562,1.096,0.958,11.431,2.110,1.512,1.118,0.989,11.538,2.174,1.600,1.079,0.927,11.451
2026-06-30,583546c,2.523,1.643,1.235,1.072,11.364,2.451,1.657,1.190,1.058,12.231,2.478,1.617,1.149,1.053,12.327
2026-07-02,91005a4,2.198,1.592,1.105,1.015,11.351,2.272,1.455,1.125,1.013,11.125,2.315,1.588,1.112,1.004,11.135
2026-08-06,835f07d,2.240,1.659,1.161,1.003,11.451,2.219,1.549,1.166,1.040,11.583,2.228,1.523,1.116,1.028,10.780
2026-08-08,fbc9a43,1.955,1.502,1.108,1.035,10.942,2.065,1.542,1.082,0.987,11.077,2.267,1.601,1.096,0.981,10.753
2026-08-12,766a954,1.995,1.476,1.012,1.005,10.330,2.131,1.534,1.077,0.924,10.852,2.214,1.577,1.066,0.977,10.928
2026-08-17,267320b,2.130,1.713,1.194,1.061,11.573,2.336,1.644,1.088,1.060,11.582,2.140,1.662,1.189,1.051,11.391
2026-08-21,f90e1ec,2.833,10.512,5.444,6.851,47.205,2.699,12.111,5.824,7.143,46.191,2.638,10.985,5.550,7.092,47.122
2026-08-22,090b274,2.307,3.013,3.190,3.037,20.806,2.261,2.604,3.157,3.175,20.399,2.253,3.171,2.998,3.452,19.487
2026-08-22,11b72df,2.030,2.150,1.991,2.351,10.434,1.934,2.315,1.849,2.018,10.989,1.882,2.125,2.095,2.418,11.054
2026-08-24,0686683,2.764,3.773,3.323,3.823,15.292,2.842,3.463,3.215,3.538,15.374,2.713,3.770,2.727,3.720,15.683
2026-08-28,1bc14c7,2.203,2.446,2.347,2.524,11.774,2.182,2.829,2.391,2.113,11.642,2.104,2.640,2.446,2.667,11.734
2026-08-31,dc25108,2.730,3.028,3.137,3.625,16.121,3.070,3.526,2.719,3.441,16.525,2.750,3.391,3.200,3.572,17.390
2026-09-01,3c6dfe6,3.133,4.668,3.161,3.723,18.511,3.312,4.188,3.269,3.339,17.395,3.306,4.266,3.315,3.620,17.352
